grid_10_11_1yGUnNoA_1590942178.cnf,476843,230.10
grid_10_11_8GaS7NSk_1590899034.cnf,134434,65.09
grid_10_11_aUs1c9Nh_1591149785.cnf,12590,4.59
grid_10_11_c3SX5LBQ_1590922607.cnf,128745,58.67
grid_10_11_C7RUhOES_1590916740.cnf,291649,106.09
grid_10_11_c8q6T6ic_1590940811.cnf,45124,16.58
grid_10_11_DahwTqvA_1590976126.cnf,422421,228.32
grid_10_11_dbenux5O_1590928106.cnf,293305,158.23
grid_10_11_DfykkDLh_1590958686.cnf,232800,108.60
grid_10_11_DMn4g3wd_1590942206.cnf,44905,22.70
grid_10_11_EchzJOfZ_1590949892.cnf,71098,21.07
grid_10_11_edxaCXi9_1590928096.cnf,296911,136.19
grid_10_11_GVkXc4Vt_1590899056.cnf,29436,11.96
grid_10_11_HadsYuqV_1590949876.cnf,109821,66.18
grid_10_11_HFJ74N7T_1590899046.cnf,379660,161.02
grid_10_11_I94W3lyf_1590932383.cnf,72571,30.25
grid_10_11_iAp0Hh8r_1590898896.cnf,157001,92.81
grid_10_11_IIB9riAS_1590929320.cnf,88620,40.14
grid_10_11_JDbe5fC2_1590933532.cnf,77586,37.83
grid_10_11_JDbe5fC2_1590933534.cnf,65210,31.90
grid_10_11_jFe9xWjN_1590940770.cnf,181339,109.16
grid_10_11_jFe9xWjN_1590940771.cnf,154861,84.05
grid_10_11_jFe9xWjN_1590940772.cnf,179994,105.39
grid_10_11_Jr6RuepS_1590899034.cnf,30310,15.73
grid_10_11_KnheE1W3_1590932396.cnf,448662,187.48
grid_10_11_kSks0WWy_1590958694.cnf,325534,169.72
grid_10_11_kvaaotov_1590932402.cnf,445315,180.07
grid_10_11_kvaaotov_1590932403.cnf,445134,183.99
grid_10_11_L9SE4wjL_1590942203.cnf,13800,4.23
grid_10_11_LAEhL7p5_1590928098.cnf,102869,47.53
grid_10_11_LAEhL7p5_1590928099.cnf,84392,37.60
grid_10_11_Ls3jVluH_1590898586.cnf,238836,125.87
grid_10_11_LXqVEZy2_1590916730.cnf,722915,414.00
grid_10_11_LYpQ63X1_1590928115.cnf,537889,223.41
grid_10_11_mF9js8sE_1590976091.cnf,130406,45.60
grid_10_11_mz7iuYjp_1590916721.cnf,253656,133.80
grid_10_11_NEdYuzuv_1590933524.cnf,185844,112.68
grid_10_11_NEdYuzuv_1590933526.cnf,199160,113.80
grid_10_11_O8YqGC8P_1590898907.cnf,373244,267.80
grid_10_11_OhbRAA2g_1590933507.cnf,244054,124.62
grid_10_11_oUdOj8yV_1590920788.cnf,84488,38.91
grid_10_11_pRqiDRkq_1590940784.cnf,49996,17.70
grid_10_11_pYUjymyn_1591149791.cnf,60471,28.10
grid_10_11_q43dAALm_1590900950.cnf,34660,11.92
grid_10_11_Qe4potyV_1591149803.cnf,43023,22.98
grid_10_11_qtn7sUAN_1590958676.cnf,200639,123.51
grid_10_11_r9nPVGWI_1591149856.cnf,97500,38.82
grid_10_11_SLiK0h1e_1590898899.cnf,77917,35.35
grid_10_11_SZF9vgUA_1591149784.cnf,157860,62.72
grid_10_11_tH3PzJO7_1590916739.cnf,776146,499.53
grid_10_11_tH3PzJO7_1590916740.cnf,698284,432.20
grid_10_11_tpyOxQzx_1590933515.cnf,126479,78.52
grid_10_11_v7VDcIvn_1590899040.cnf,129018,97.05
grid_10_11_v7VDcIvn_1590899041.cnf,157027,115.11
grid_10_11_VN6iiqIz_1590942186.cnf,284346,189.34
grid_10_11_vZEQRJG0_1590920741.cnf,102078,46.39
grid_10_11_weaRipes_1590900956.cnf,62763,32.26
